Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26,52,38,Sandy,Tomato,37,0,0,Urea
29,52,45,Loamy,Tomato,12,0,36,DAP
34,65,62,Black,Tomato,7,9,30,14-35-14
32,62,34,Red,Tomato,22,0,20,28-28
28,54,46,Clayey,Tomato,35,0,0,Urea
26,52,35,Sandy,Tomato,12,10,13,17-17-17
25,50,64,Red,Tomato,9,0,10,20-20
33,64,50,Loamy,Tomato,41,0,0,Urea
30,60,42,Sandy,Tomato,21,0,18,28-28
29,58,33,Black,Tomato,9,7,30,14-35-14
27,54,28,Clayey,Tomato,13,0,40,DAP
31,62,48,Sandy,Tomato,14,15,12,17-17-17
25,50,65,Loamy,Tomato,36,0,0,Urea
32,62,41,Clayey,Tomato,24,0,22,28-28
26,52,31,Red,Tomato,14,0,41,DAP
31,62,49,Black,Tomato,10,13,14,17-17-17
33,64,34,Clayey,Tomato,38,0,0,Urea
25,50,39,Sandy,Tomato,21,0,19,28-28
28,54,65,Black,Tomato,39,0,0,Urea
29,58,52,Loamy,Tomato,13,0,36,DAP
30,60,44,Sandy,Tomato,10,0,9,20-20
34,65,53,Loamy,Tomato,12,14,12,17-17-17
35,68,33,Red,Tomato,11,0,37,DAP
28,54,37,Black,Tomato,36,0,0,Urea
33,64,39,Clayey,Tomato,13,0,10,20-20
26,52,44,Sandy,Tomato,23,0,20,28-28
30,60,63,Red,Tomato,9,9,29,14-35-14
32,62,30,Loamy,Tomato,38,0,0,Urea
37,70,32,Black,Tomato,12,0,39,DAP
26,52,36,Clayey,Tomato,14,0,13,20-20
29,58,40,Red,Tomato,24,0,23,28-28
30,60,27,Loamy,Tomato,12,0,40,DAP
34,65,38,Clayey,Tomato,39,0,0,Urea
36,68,38,Sandy,Tomato,7,9,30,14-35-14
26,52,48,Loamy,Tomato,23,0,19,28-28
28,54,35,Black,Tomato,41,0,0,Urea
30,60,61,Loamy,Tomato,8,10,31,14-35-14
37,70,37,Clayey,Tomato,12,0,41,DAP
25,50,26,Red,Tomato,15,14,11,17-17-17
29,58,34,Sandy,Tomato,15,0,37,DAP
27,54,30,Clayey,Tomato,13,0,13,20-20
30,60,58,Loamy,Tomato,10,7,32,14-35-14
32,62,34,Red,Tomato,22,0,24,28-28
34,65,60,Black,Tomato,35,0,0,Urea
35,67,42,Sandy,Tomato,10,0,35,DAP
38,70,48,Loamy,Tomato,8,8,28,14-35-14
26,52,32,Black,Tomato,12,0,8,20-20
29,58,43,Clayey,Tomato,24,0,18,28-28
30,60,29,Red,Tomato,41,0,0,Urea
33,64,51,Sandy,Tomato,5,9,29,14-35-14
34,65,31,Red,Tomato,23,0,21,28-28
36,68,33,Black,Tomato,13,0,14,20-20
28,54,38,Clayey,Tomato,40,0,0,Urea
30,60,47,Sandy,Tomato,12,0,42,DAP
31,62,63,Red,Tomato,11,12,15,17-17-17
27,53,43,Black,Tomato,23,0,24,28-28
34,65,54,Loamy,Tomato,38,0,0,Urea
29,58,37,Sandy,Tomato,8,0,15,20-20
25,50,56,Loamy,Tomato,11,13,15,17-17-17
32,62,34,Red,Tomato,15,0,37,DAP
28,54,41,Clayey,Tomato,36,0,0,Urea
30,60,49,Loamy,Tomato,13,0,9,20-20
34,65,64,Black,Tomato,24,0,20,28-28
28,54,47,Sandy,Tomato,5,18,15,10/26/2026
27,53,35,Black,Tomato,37,0,0,Urea
36,68,62,Red,Tomato,15,0,40,DAP
34,65,57,Black,Tomato,9,0,13,20-20
29,58,55,Loamy,Tomato,8,8,33,14-35-14
25,50,40,Clayey,Tomato,6,19,16,10/26/2026
30,60,38,Sandy,Tomato,10,0,14,20-20
26,52,39,Clayey,Tomato,21,0,23,28-28
31,62,32,Red,Tomato,39,0,0,Urea
34,65,48,Loamy,Tomato,23,0,19,28-28
27,53,34,Black,Tomato,42,0,0,Urea
33,64,31,Red,Tomato,13,0,39,DAP
29,58,42,Clayey,Tomato,9,10,22,14-35-14
30,60,47,Sandy,Tomato,22,0,21,28-28
27,53,59,Loamy,Tomato,10,0,15,20-20
26,52,36,Clayey,Tomato,7,16,20,10/26/2026
34,65,63,Red,Tomato,14,0,38,DAP
28,54,43,Clayey,Tomato,10,8,29,14-35-14
30,60,40,Sandy,Tomato,41,0,0,Urea
29,58,65,Black,Tomato,14,0,35,DAP
26,52,59,Loamy,Tomato,11,0,9,20-20
31,62,44,Sandy,Tomato,21,0,28,28-28
35,67,28,Clayey,Tomato,8,7,31,14-35-14
29,58,30,Red,Tomato,13,17,16,10/26/2026
27,53,30,Black,Tomato,35,0,0,Urea
36,68,50,Loamy,Tomato,12,18,19,10/26/2026
29,58,61,Loamy,Tomato,11,0,38,DAP
30,60,26,Black,Tomato,8,9,30,14-35-14
34,65,45,Clayey,Tomato,6,19,21,10/26/2026
36,68,41,Red,Tomato,41,0,0,Urea
28,54,25,Sandy,Tomato,9,10,30,14-35-14
25,50,32,Clayey,Tomato,24,0,19,28-28
30,60,27,Red,Tomato,4,17,17,10/26/2026
38,72,51,Loamy,Tomato,39,0,0,Urea
36,60,43,Sandy,Tomato,15,0,41,DAP
29,58,57,Black,Tomato,12,0,10,20-20
